# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
178           	2.523271e-03	3.672220e-04	1.617974e-04
179           	2.488949e-03	3.592957e-04	1.594376e-04
180           	2.459522e-03	3.515474e-04	1.571248e-04
181           	2.423560e-03	3.439582e-04	1.548614e-04
182           	2.401358e-03	3.365908e-04	1.525898e-04
183           	2.368156e-03	3.294462e-04	1.503295e-04
184           	2.349489e-03	3.225438e-04	1.480396e-04
185           	2.319547e-03	3.157749e-04	1.457506e-04
186           	2.303914e-03	3.092000e-04	1.433763e-04
187           	2.271394e-03	3.028164e-04	1.409799e-04
188           	2.253600e-03	2.966208e-04	1.385481e-04
189           	2.219042e-03	2.905607e-04	1.360900e-04
190           	2.201633e-03	2.846751e-04	1.336712e-04
191           	2.168532e-03	2.790026e-04	1.313681e-04
192           	2.156188e-03	2.734590e-04	1.291475e-04
193           	2.125944e-03	2.680660e-04	1.269550e-04
194           	2.113160e-03	2.627859e-04	1.247611e-04
195           	2.085734e-03	2.576981e-04	1.225225e-04
196           	2.073647e-03	2.527151e-04	1.202754e-04
197           	2.048821e-03	2.478486e-04	1.180089e-04
198           	2.034052e-03	2.431063e-04	1.157283e-04
199           	2.007784e-03	2.385610e-04	1.134808e-04
200           	1.991659e-03	2.341341e-04	1.112499e-04
201           	1.970017e-03	2.298089e-04	1.090571e-04
202           	1.954867e-03	2.255851e-04	1.069765e-04
203           	1.938095e-03	2.214970e-04	1.049616e-04
204           	1.921278e-03	2.175482e-04	1.029683e-04
205           	1.909096e-03	2.136669e-04	1.009643e-04
206           	1.890995e-03	2.099160e-04	9.896022e-05
207           	1.880882e-03	2.062500e-04	9.694304e-05
208           	1.860747e-03	2.027153e-04	9.496426e-05
209           	1.852954e-03	1.992197e-04	9.301186e-05
210           	1.831336e-03	1.958837e-04	9.111764e-05
211           	1.823601e-03	1.926276e-04	8.926531e-05
212           	1.800661e-03	1.895186e-04	8.746864e-05
213           	1.796482e-03	1.863995e-04	8.569784e-05
214           	1.774968e-03	1.834476e-04	8.396708e-05
